"filename", "language", "Markdown", "Batch", "YAML", "JSON with Comments", "JSON", "TypeScript", "PostCSS", "TypeScript JSX", "XML", "HTML", "JavaScript", "comment", "blank", "total"
"d:\Codez\Nexus\Reach2\context-core\server\src\server\routes\agentBuilderRoutes.ts", "TypeScript", 0, 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 0, 25, 178
"d:\Codez\Nexus\Reach2\context-core\server\src\server\routes\messageRoutes.ts", "TypeScript", 0, 0, 0, 0, 0, 252, 0, 0, 0, 0, 0, 8, 35, 295
"d:\Codez\Nexus\Reach2\context-core\server\src\server\routes\projectRoutes.ts", "TypeScript", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"d:\Codez\Nexus\Reach2\context-core\server\src\server\routes\scopeRoutes.ts", "TypeScript", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 8, 51
"d:\Codez\Nexus\Reach2\context-core\server\src\server\routes\sessionRoutes.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 3, 23
"d:\Codez\Nexus\Reach2\context-core\server\src\server\routes\threadRoutes.ts", "TypeScript", 0, 0, 0, 0, 0, 258, 0, 0, 0, 0, 0, 7, 36, 301
"d:\Codez\Nexus\Reach2\context-core\server\src\server\routes\topicRoutes.ts", "TypeScript", 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 3, 12, 92
"d:\Codez\Nexus\Reach2\context-core\server\src\settings\CCSettings.ts", "TypeScript", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 39, 21, 129
"d:\Codez\Nexus\Reach2\context-core\server\src\settings\CMSettings.ts", "TypeScript", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 13, 6, 50
"d:\Codez\Nexus\Reach2\context-core\server\src\settings\ScopeStore.ts", "TypeScript", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 22, 10, 85
"d:\Codez\Nexus\Reach2\context-core\server\src\settings\TopicStore.ts", "TypeScript", 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 51, 17, 156
"d:\Codez\Nexus\Reach2\context-core\server\src\setup.ts", "TypeScript", 0, 0, 0, 0, 0, 705, 0, 0, 0, 0, 0, 40, 116, 861
"d:\Codez\Nexus\Reach2\context-core\server\src\storage\StorageWriter.ts", "TypeScript", 0, 0, 0, 0, 0, 133, 0, 0, 0, 0, 0, 49, 15, 197
"d:\Codez\Nexus\Reach2\context-core\server\src\types.ts", "TypeScript", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 35, 11, 85
"d:\Codez\Nexus\Reach2\context-core\server\src\utils\hashId.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 8, 2, 20
"d:\Codez\Nexus\Reach2\context-core\server\src\utils\pathHelpers.ts", "TypeScript", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 17, 11, 62
"d:\Codez\Nexus\Reach2\context-core\server\src\utils\rawCopier.ts", "TypeScript", 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 33, 15, 114
"d:\Codez\Nexus\Reach2\context-core\server\src\utils\vscodeWorkspace.ts", "TypeScript", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 7, 10, 84
"d:\Codez\Nexus\Reach2\context-core\server\src\vector\Chunker.ts", "TypeScript", 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 48, 22, 174
"d:\Codez\Nexus\Reach2\context-core\server\src\vector\ContentClassifier.ts", "TypeScript", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 32, 25, 179
"d:\Codez\Nexus\Reach2\context-core\server\src\vector\EmbeddingService.ts", "TypeScript", 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 46, 20, 157
"d:\Codez\Nexus\Reach2\context-core\server\src\vector\QdrantService.ts", "TypeScript", 0, 0, 0, 0, 0, 302, 0, 0, 0, 0, 0, 132, 48, 482
"d:\Codez\Nexus\Reach2\context-core\server\src\vector\SummaryEmbeddingCache.ts", "TypeScript", 0, 0, 0, 0, 0, 169, 0, 0, 0, 0, 0, 81, 31, 281
"d:\Codez\Nexus\Reach2\context-core\server\src\vector\VectorConfig.ts", "TypeScript", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 38, 12, 101
"d:\Codez\Nexus\Reach2\context-core\server\src\vector\VectorPipeline.ts", "TypeScript", 0, 0, 0, 0, 0, 347, 0, 0, 0, 0, 0, 88, 46, 481
"d:\Codez\Nexus\Reach2\context-core\server\src\vector\index.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 4, 2, 13
"d:\Codez\Nexus\Reach2\context-core\server\src\watcher\FileWatcher.ts", "TypeScript", 0, 0, 0, 0, 0, 432, 0, 0, 0, 0, 0, 109, 71, 612
"d:\Codez\Nexus\Reach2\context-core\server\src\watcher\IncrementalPipeline.ts", "TypeScript", 0, 0, 0, 0, 0, 367, 0, 0, 0, 0, 0, 60, 41, 468
"d:\Codez\Nexus\Reach2\context-core\server\start.bat", "Batch", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Codez\Nexus\Reach2\context-core\server\tsconfig.json", "JSON with Comments", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"d:\Codez\Nexus\Reach2\context-core\server\zz-reach2\architecture\agents\archi-agent-builder.md", "Markdown", 580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 168, 748
"d:\Codez\Nexus\Reach2\context-core\server\zz-reach2\architecture\archi-context-core-level0.md", "Markdown", 731, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 188, 919
"d:\Codez\Nexus\Reach2\context-core\server\zz-reach2\architecture\cli\archi-cli.md", "Markdown", 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 242
"d:\Codez\Nexus\Reach2\context-core\server\zz-reach2\architecture\data\archi-database.md", "Markdown", 507, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 156, 663
"d:\Codez\Nexus\Reach2\context-core\server\zz-reach2\architecture\data\archi-file-watcher.md", "Markdown", 493, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 159, 652
"d:\Codez\Nexus\Reach2\context-core\server\zz-reach2\architecture\harness\archi-h-cursor.md", "Markdown", 399, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 127, 526
"d:\Codez\Nexus\Reach2\context-core\server\zz-reach2\architecture\harness\archi-harness.md", "Markdown", 823, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 213, 1036
"d:\Codez\Nexus\Reach2\context-core\server\zz-reach2\architecture\mcp\archi-mcp.md", "Markdown", 660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 221, 881
"d:\Codez\Nexus\Reach2\context-core\server\zz-reach2\architecture\search\archi-qdrant.md", "Markdown", 945, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 330, 1275
"d:\Codez\Nexus\Reach2\context-core\server\zz-reach2\architecture\search\archi-scopes.md", "Markdown", 384, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 117, 501
"d:\Codez\Nexus\Reach2\context-core\server\zz-reach2\architecture\search\archi-search.md", "Markdown", 588, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 202, 790
"d:\Codez\Nexus\Reach2\context-core\server\zz-reach2\architecture\setup\archi-setup.md", "Markdown", 392, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 481
